Masked Input[7]: 86, Masked Output[7]: 7c
Masked Input[8]: 8f, Masked Output[8]: cf
Masked Input[9]: 5d, Masked Output[9]: c4
Masked Input[10]: 3a, Masked Output[10]: 34
Masked Input[11]: e3, Masked Output[11]: 34
Masked Input[12]: 4e, Masked Output[12]: 50
Masked Input[13]: 02, Masked Output[13]: d7
Masked Input[14]: 12, Masked Output[14]: 42
Masked Input[15]: 02, Masked Output[15]: 99
Masked Input[0]: 7a, Masked Output[0]: d2
Masked Input[1]: a4, Masked Output[1]: 2b
Masked Input[2]: e4, Masked Output[2]: 1f
Masked Input[3]: 2a, Masked Output[3]: f6
Masked Input[4]: ef, Masked Output[4]: 70
Masked Input[5]: 1e, Masked Output[5]: 63
Masked Input[6]: 0d, Masked Output[6]: 57
Masked Input[7]: 7a, Masked Output[7]: c2
Masked Input[8]: fa, Masked Output[8]: a9
Masked Input[9]: c1, Masked Output[9]: 57
Masked Input[10]: 9b, Masked Output[10]: 5e
Masked Input[11]: 52, Masked Output[11]: 52
Masked Input[12]: 2f, Masked Output[12]: 8b
Masked Input[13]: c6, Masked Output[13]: 80
Masked Input[14]: e7, Masked Output[14]: d5
Masked Input[15]: bf, Masked Output[15]: 6f
Masked Input[0]: ba, Masked Output[0]: 55
Masked Input[1]: 20, Masked Output[1]: 14
Masked Input[2]: b1, Masked Output[2]: d7
Masked Input[3]: 10, Masked Output[3]: ad
Masked Input[4]: 24, Masked Output[4]: 50
Masked Input[5]: 09, Masked Output[5]: cd
Masked Input[6]: ec, Masked Output[6]: f3
Masked Input[7]: 18, Masked Output[7]: b7
Masked Input[8]: 07, Masked Output[8]: f5
Masked Input[9]: d8, Masked Output[9]: 41
Masked Input[10]: 5a, Masked Output[10]: 4a
Masked Input[11]: 0e, Masked Output[11]: 75
Masked Input[12]: 1a, Masked Output[12]: a9
Masked Input[13]: 78, Masked Output[13]: 7b
Masked Input[14]: 2a, Masked Output[14]: 7b
Masked Input[15]: 71, Masked Output[15]: 90
Masked Input[0]: bc, Masked Output[0]: 1f
Masked Input[1]: 96, Masked Output[1]: e4
Masked Input[2]: 31, Masked Output[2]: f3
Masked Input[3]: 66, Masked Output[3]: 75
Masked Input[4]: ab, Masked Output[4]: f2
Masked Input[5]: 8f, Masked Output[5]: 83
Masked Input[6]: 4d, Masked Output[6]: 90
Masked Input[7]: f1, Masked Output[7]: 79
Masked Input[8]: b6, Masked Output[8]: 81
Masked Input[9]: 77, Masked Output[9]: c4
Masked Input[10]: b0, Masked Output[10]: 62
Masked Input[11]: 59, Masked Output[11]: 0f
Masked Input[12]: 84, Masked Output[12]: b1
Masked Input[13]: af, Masked Output[13]: cf
Masked Input[14]: f1, Masked Output[14]: 21
Masked Input[15]: ee, Masked Output[15]: 6b
Masked Input[0]: d3, Masked Output[0]: 9a
Masked Input[1]: b6, Masked Output[1]: 86
Masked Input[2]: a6, Masked Output[2]: 2c
Masked Input[3]: cb, Masked Output[3]: 38
Masked Input[4]: e9, Masked Output[4]: 9f
Masked Input[5]: fc, Masked Output[5]: 3a
Masked Input[6]: 4d, Masked Output[6]: f2
Masked Input[7]: 5a, Masked Output[7]: 55
Masked Input[8]: ec, Masked Output[8]: 61
Masked Input[9]: c5, Masked Output[9]: 81
Masked Input[10]: 0d, Masked Output[10]: 8a
Masked Input[11]: 9c, Masked Output[11]: d2
Masked Input[12]: 61, Masked Output[12]: 3f
Masked Input[13]: 74, Masked Output[13]: 9a
Masked Input[14]: a8, Masked Output[14]: fc
Masked Input[15]: ce, Masked Output[15]: 2a
Masked Input[0]: f8, Masked Output[0]: e6
Masked Input[1]: be, Masked Output[1]: 7e
Masked Input[2]: 1d, Masked Output[2]: 05
Masked Input[3]: b8, Masked Output[3]: 7e
Masked Input[4]: d8, Masked Output[4]: 20
Masked Input[5]: 73, Masked Output[5]: 2f
Masked Input[6]: 33, Masked Output[6]: b1
Masked Input[7]: 07, Masked Output[7]: 21
Masked Input[8]: 41, Masked Output[8]: 9c
Masked Input[9]: 55, Masked Output[9]: f2
Masked Input[10]: b1, Masked Output[10]: 10
Masked Input[11]: e2, Masked Output[11]: 39
Masked Input[12]: bd, Masked Output[12]: 9d
Masked Input[13]: 0a, Masked Output[13]: 8e
